Area,Pop. Est
"Wyandotte, Kansas",165321
"Adair, Kentucky",19199
"Allen, Kentucky",21122
"Anderson, Kentucky",22641
"Ballard, Kentucky",7992
"Barren, Kentucky",44115
"Bath, Kentucky",12444
"Bell, Kentucky",26487
"Boone, Kentucky",131901
"Bourbon, Kentucky",20116
"Boyd, Kentucky",47292
"Boyle, Kentucky",30082
"Bracken, Kentucky",8278
"Breathitt, Kentucky",12787
"Breckinridge, Kentucky",20309
"Bullitt, Kentucky",81009
"Butler, Kentucky",12743
"Caldwell, Kentucky",12716
"Calloway, Kentucky",38964
"Campbell, Kentucky",93464
"Carlisle, Kentucky",4739
"Carroll, Kentucky",10712
"Carter, Kentucky",27040
"Casey, Kentucky",15926
"Christian, Kentucky",70712
"Clark, Kentucky",36180
"Clay, Kentucky",20088
"Clinton, Kentucky",10152
"Crittenden, Kentucky",8896
"Cumberland, Kentucky",6693
"Daviess, Kentucky",100883
"Edmonson, Kentucky",12249
"Elliott, Kentucky",7499
"Estill, Kentucky",14150
"Fayette, Kentucky",322426
"Fleming, Kentucky",14485
"Floyd, Kentucky",35896
"Franklin, Kentucky",50801
"Fulton, Kentucky",6066
"Gallatin, Kentucky",8766
"Garrard, Kentucky",17519
"Grant, Kentucky",25065
"Graves, Kentucky",37319
"Grayson, Kentucky",26293
"Green, Kentucky",10998
"Greenup, Kentucky",35332
"Hancock, Kentucky",8738
"Hardin, Kentucky",110279
"Harlan, Kentucky",26309
"Harrison, Kentucky",18780
"Hart, Kentucky",18902
"Henderson, Kentucky",45512
"Henry, Kentucky",16061
"Hickman, Kentucky",4431
"Hopkins, Kentucky",45024
"Jackson, Kentucky",13403
"Jefferson, Kentucky",768101
"Jessamine, Kentucky",53757
"Johnson, Kentucky",22391
"Kenton, Kentucky",166292
"Knott, Kentucky",15076
"Knox, Kentucky",31300
"Larue, Kentucky",14299
"Laurel, Kentucky",60660
"Lawrence, Kentucky",15583
"Lee, Kentucky",7052
"Leslie, Kentucky",10151
"Letcher, Kentucky",21813
"Lewis, Kentucky",13268
"Lincoln, Kentucky",24612
"Livingston, Kentucky",9244
"Logan, Kentucky",26983
"Lyon, Kentucky",8171
"McCracken, Kentucky",65307
"McCreary, Kentucky",17290
"McLean, Kentucky",9258
"Madison, Kentucky",92107
"Magoffin, Kentucky",12323
"Marion, Kentucky",19326
"Marshall, Kentucky",31202
"Martin, Kentucky",11325
"Mason, Kentucky",17080
"Meade, Kentucky",28623
"Menifee, Kentucky",6437
"Mercer, Kentucky",21702
"Metcalfe, Kentucky",10070
"Monroe, Kentucky",10732
"Montgomery, Kentucky",28109
"Morgan, Kentucky",13372
"Muhlenberg, Kentucky",30811
"Nelson, Kentucky",45813
"Nicholas, Kentucky",7195
"Ohio, Kentucky",24064
"Oldham, Kentucky",66512
"Owen, Kentucky",10881
"Owsley, Kentucky",4474
"Pendleton, Kentucky",14588
"Perry, Kentucky",26208
"Pike, Kentucky",58492
"Powell, Kentucky",12371
"Pulaski, Kentucky",64584
"Robertson, Kentucky",2130
"Rockcastle, Kentucky",16823
"Rowan, Kentucky",24503
"Russell, Kentucky",17790
"Scott, Kentucky",55968
"Shelby, Kentucky",48059
"Simpson, Kentucky",18403
"Spencer, Kentucky",19021
"Taylor, Kentucky",25514
"Todd, Kentucky",12306
"Trigg, Kentucky",14658
"Trimble, Kentucky",8468
"Union, Kentucky",14471
"Warren, Kentucky",130750
"Washington, Kentucky",12023
"Wayne, Kentucky",20430
"Webster, Kentucky",13051
"Whitley, Kentucky",36101
"Wolfe, Kentucky",7199
"Woodford, Kentucky",26491
"Acadia, Louisiana",62214
"Allen, Louisiana",25567
"Ascension, Louisiana",124858
"Assumption, Louisiana",22279
"Avoyelles, Louisiana",40402
"Beauregard, Louisiana",37369
"Bienville, Louisiana",13343
"Bossier, Louisiana",127022
"Caddo, Louisiana",242833
"Calcasieu, Louisiana",203177
"Caldwell, Louisiana",9964
"Cameron, Louisiana",7013
"Catahoula, Louisiana",9606
"Claiborne, Louisiana",15895
"Concordia, Louisiana",19586
"De Soto, Louisiana",27426
"East Baton Rouge, Louisiana",442058
"East Carroll, Louisiana",6994
"East Feliciana, Louisiana",19286
"Evangeline, Louisiana",33496
"Franklin, Louisiana",20164
"Grant, Louisiana",22436
"Iberia, Louisiana",70905
"Iberville, Louisiana",32693
"Jackson, Louisiana",15912
"Jefferson, Louisiana",433884
"Jefferson Davis, Louisiana",31537
"Lafayette, Louisiana",243113
"Lafourche, Louisiana",97981
"LaSalle, Louisiana",14901
"Lincoln, Louisiana",47112
"Livingston, Louisiana",139394
"Madison, Louisiana",11196
"Morehouse, Louisiana",25324
"Natchitoches, Louisiana",38616
"Orleans, Louisiana",391004
"Ouachita, Louisiana",154571
"Plaquemines, Louisiana",23385
"Pointe Coupee, Louisiana",21879
"Rapides, Louisiana",130326
"Red River, Louisiana",8526
"Richland, Louisiana",20223
"Sabine, Louisiana",23901
"St Bernard, Louisiana",46780
"St Charles, Louisiana",52775
"St Helena, Louisiana",10187
"St James, Louisiana",21151
"St John the Baptist, Louisiana",43119
"St Landry, Louisiana",82782
"St Martin, Louisiana",53562
"St Mary, Louisiana",49841
"St Tammany, Louisiana",258035
"Tangipahoa, Louisiana",133837
"Tensas, Louisiana",4470
"Terrebonne, Louisiana",111163
"Union, Louisiana",22243
"Vermilion, Louisiana",59886
"Vernon, Louisiana",48101
"Washington, Louisiana",46588
"Webster, Louisiana",38792
"West Baton Rouge, Louisiana",26400
"West Carroll, Louisiana",10977
"West Feliciana, Louisiana",15492
"Winn, Louisiana",14138
"Androscoggin, Maine",107914
"Aroostook, Maine",67318
"Cumberland, Maine",293673
"Franklin, Maine",29915
"Hancock, Maine",54734
"Kennebec, Maine",122044
"Knox, Maine",39717
"Lincoln, Maine",34399
"Oxford, Maine",57754
"Penobscot, Maine",151817
"Piscataquis, Maine",16746
"Sagadahoc, Maine",35690
"Somerset, Maine",50489
"Waldo, Maine",39657
"Washington, Maine",31321
"York, Maine",205869
"Allegany, Maryland",70941
"Anne Arundel, Maryland",575523
"Baltimore, Maryland",827859
"Calvert, Maryland",92065
"Caroline, Maryland",33306
"Carroll, Maryland",168267
"Cecil, Maryland",102644
"Charles, Maryland",161476
"Dorchester, Maryland",31960
"Frederick, Maryland",254943
"Garrett, Maryland",29133
"Harford, Maryland",253882
"Howard, Maryland",322621
"Kent, Maryland",19434
"Montgomery, Maryland",1048478
"Prince George's, Maryland",909619
"Queen Anne's, Maryland",50148
"St Mary's, Maryland",112720
"Somerset, Maryland",25606
"Talbot, Maryland",37074
"Washington, Maryland",150656
"Wicomico, Maryland",103044
"Worcester, Maryland",51960
"Baltimore city, Maryland",602443
"Barnstable, Massachusetts",213471
"Berkshire, Massachusetts",125901
"Bristol, Massachusetts",564092
"Dukes, Massachusetts",17329
"Essex, Massachusetts",788183
"Franklin, Massachusetts",70611
"Hampden, Massachusetts",468388
"Hampshire, Massachusetts",161139
"Middlesex, Massachusetts",1608470
"Nantucket, Massachusetts",11198
"Norfolk, Massachusetts",703230
"Plymouth, Massachusetts",518422
"Suffolk, Massachusetts",803147
"Worcester, Massachusetts",829054
"Alcona, Michigan",10360
"Alger, Michigan",9118
"Allegan, Michigan",117173
"Alpena, Michigan",28384
"Antrim, Michigan",23323
"Arenac, Michigan",15008
"Baraga, Michigan",8324
"Barry, Michigan",61231
"Bay, Michigan",103702
"Benzie, Michigan",17761
"Berrien, Michigan",153790
"Branch, Michigan",43566
"Calhoun, Michigan",134049
"Cass, Michigan",51725
"Charlevoix, Michigan",26187
"Cheboygan, Michigan",25504
"Chippewa, Michigan",37461
"Clare, Michigan",30735
"Clinton, Michigan",79219
"Crawford, Michigan",13905
"Delta, Michigan",35843
"Dickinson, Michigan",25371
"Eaton, Michigan",109710
"Emmet, Michigan",33225
"Genesee, Michigan",406688
"Gladwin, Michigan",25326
"Gogebic, Michigan",15116
"Grand Traverse, Michigan",92530
"Gratiot, Michigan",40602
"Hillsdale, Michigan",45702
"Houghton, Michigan",35943
"Huron, Michigan",31211
"Ingham, Michigan",291612
"Ionia, Michigan",64276
"Iosco, Michigan",25103
"Iron, Michigan",11104
"Isabella, Michigan",70463
"Jackson, Michigan",158566
"Kalamazoo, Michigan",264680
"Kalkaska, Michigan",17806
"Kent, Michigan",653350
"Keweenaw, Michigan",2090
"Lake, Michigan",11876
"Lapeer, Michigan",87921
"Leelanau, Michigan",21714
"Lenawee, Michigan",98141
"Livingston, Michigan",191190
"Luce, Michigan",6327
"Mackinac, Michigan",10781
"Macomb, Michigan",872795
"Manistee, Michigan",24455
"Marquette, Michigan",66381
"Mason, Michigan",29084
"Mecosta, Michigan",43400
"Menominee, Michigan",22927
"Midland, Michigan",83223
"Missaukee, Michigan",15101
"Monroe, Michigan",150174
"Montcalm, Michigan",63936
"Montmorency, Michigan",9275
"Muskegon, Michigan",173599
"Newaygo, Michigan",48839
"Oakland, Michigan",1256694
"Oceana, Michigan",26555
"Ogemaw, Michigan",20882
"Ontonagon, Michigan",5801
"Osceola, Michigan",23377
"Oscoda, Michigan",8224
"Otsego, Michigan",24641
"Ottawa, Michigan",289808
"Presque Isle, Michigan",12698
"Roscommon, Michigan",23812
"Saginaw, Michigan",190791
"St Clair, Michigan",159031
"St Joseph, Michigan",60912
"Sanilac, Michigan",41192
"Schoolcraft, Michigan",8044
"Shiawassee, Michigan",68133
"Tuscola, Michigan",52633
"Van Buren, Michigan",75481
"Washtenaw, Michigan",369483
"Wayne, Michigan",1754453
"Wexford, Michigan",33446
"Aitkin, Minnesota",15887
"Anoka, Minnesota",353441
"Becker, Minnesota",34389
"Beltrami, Minnesota",46735
"Benton, Minnesota",40510
"Big Stone, Minnesota",4990
"Blue Earth, Minnesota",67378
"Brown, Minnesota",25125
"Carlton, Minnesota",35822
"Carver, Minnesota",103533
"Cass, Minnesota",29511
"Chippewa, Minnesota",11901
"Chisago, Minnesota",55972
"Clay, Minnesota",64017
"Clearwater, Minnesota",8815
"Cook, Minnesota",5425
"Cottonwood, Minnesota",11259
"Crow Wing, Minnesota",64794
"Dakota, Minnesota",425040
"Dodge, Minnesota",20767
"Douglas, Minnesota",37960
"Faribault, Minnesota",13736
"Fillmore, Minnesota",21044
"Freeborn, Minnesota",30480
"Goodhue, Minnesota",46299
"Grant, Minnesota",5989
"Hennepin, Minnesota",1257925
"Houston, Minnesota",18572
"Hubbard, Minnesota",21291
"Isanti, Minnesota",39950
"Itasca, Minnesota",45051
"Jackson, Minnesota",9895
"Kanabec, Minnesota",16246
"Kandiyohi, Minnesota",42910
"Kittson, Minnesota",4268
"Koochiching, Minnesota",12431
"Lac qui Parle, Minnesota",6664
"Lake, Minnesota",10610
"Lake of the Woods, Minnesota",3737
"Le Sueur, Minnesota",28588
"Lincoln, Minnesota",5668
"Lyon, Minnesota",25583
"McLeod, Minnesota",35827
"Mahnomen, Minnesota",5497
"Marshall, Minnesota",9383
"Martin, Minnesota",19772
"Meeker, Minnesota",23145
"Mille Lacs, Minnesota",26100
"Morrison, Minnesota",33158
"Mower, Minnesota",40142
"Murray, Minnesota",8254
"Nicollet, Minnesota",34199
"Nobles, Minnesota",21744
"Norman, Minnesota",6479
"Olmsted, Minnesota",156358
"Otter Tail, Minnesota",58670
"Pennington, Minnesota",14173
"Pine, Minnesota",29468
"Pipestone, Minnesota",9127
"Polk, Minnesota",31411
"Pope, Minnesota",11095
"Ramsey, Minnesota",548872
"Red Lake, Minnesota",3992
"Redwood, Minnesota",15252
"Renville, Minnesota",14609
"Rice, Minnesota",66566
"Rock, Minnesota",9401
"Roseau, Minnesota",15158
"St Louis, Minnesota",199685
"Scott, Minnesota",147191
"Sherburne, Minnesota",95957
"Sibley, Minnesota",14997
"Stearns, Minnesota",159656
"Steele, Minnesota",36738
"Stevens, Minnesota",9752
"Swift, Minnesota",9323
"Todd, Minnesota",24570
"Traverse, Minnesota",3291
"Wabasha, Minnesota",21645
"Wadena, Minnesota",13723
"Waseca, Minnesota",18664
"Washington, Minnesota",258899
"Watonwan, Minnesota",11007
"Wilkin, Minnesota",6244
"Winona, Minnesota",50735
"Wright, Minnesota",136313
"Yellow Medicine, Minnesota",9799
"Adams, Mississippi",31044
"Alcorn, Mississippi",36810
"Amite, Mississippi",12327
"Attala, Mississippi",18328
"Benton, Mississippi",8243
"Bolivar, Mississippi",31115
"Calhoun, Mississippi",14432
"Carroll, Mississippi",9920
"Chickasaw, Mississippi",17100
"Choctaw, Mississippi",8265
"Claiborne, Mississippi",9072
"Clarke, Mississippi",15585
"Clay, Mississippi",19404
"Coahoma, Mississippi",22605
"Copiah, Mississippi",28400
"Covington, Mississippi",18825
"DeSoto, Mississippi",181932
"Forrest, Mississippi",74912
"Franklin, Mississippi",7758
"George, Mississippi",24110
"Greene, Mississippi",13996
"Grenada, Mississippi",20984
"Hancock, Mississippi",47278
"Harrison, Mississippi",206284
"Hinds, Mississippi",235824
"Holmes, Mississippi",17444
"Humphreys, Mississippi",8256
"Issaquena, Mississippi",1307
"Itawamba, Mississippi",23461
"Jackson, Mississippi",143127
"Jasper, Mississippi",16425
"Jefferson, Mississippi",7093
"Jefferson Davis, Mississippi",11215
"Jones, Mississippi",68196
"Kemper, Mississippi",9733
"Lafayette, Mississippi",53542
"Lamar, Mississippi",62637
"Lauderdale, Mississippi",75238
"Lawrence, Mississippi",12448
"Leake, Mississippi",22791
"Lee, Mississippi",85276
"Leflore, Mississippi",28616
"Lincoln, Mississippi",34210
"Lowndes, Mississippi",58760
"Madison, Mississippi",105648
"Marion, Mississippi",24752
"Marshall, Mississippi",35436
"Monroe, Mississippi",35543
"Montgomery, Mississippi",9994
"Neshoba, Mississippi",29151
"Newton, Mississippi",21355
"Noxubee, Mississippi",10550
"Oktibbeha, Mississippi",49249
"Panola, Mississippi",34156
"Pearl River, Mississippi",55323
"Perry, Mississippi",11918
"Pike, Mississippi",39380
"Pontotoc, Mississippi",31881
"Prentiss, Mississippi",25088
"Quitman, Mississippi",7055
"Rankin, Mississippi",154250
"Scott, Mississippi",28319
"Sharkey, Mississippi",4375
"Simpson, Mississippi",26717
"Smith, Mississippi",16029
"Stone, Mississippi",17997
"Sunflower, Mississippi",26211
"Tallahatchie, Mississippi",13961
"Tate, Mississippi",28347
"Tippah, Mississippi",22039
"Tishomingo, Mississippi",19383
"Tunica, Mississippi",9922
"Union, Mississippi",28615
"Walthall, Mississippi",14436
"Warren, Mississippi",46093
"Washington, Mississippi",45036
"Wayne, Mississippi",20296
"Webster, Mississippi",9788
"Wilkinson, Mississippi",8781
"Winston, Mississippi",18164
"Yalobusha, Mississippi",12361
"Yazoo, Mississippi",29093
"Adair, Missouri",25476
"Andrew, Missouri",17662
"Atchison, Missouri",5183
"Audrain, Missouri",25423
"Barry, Missouri",35712
"Barton, Missouri",11790
"Bates, Missouri",16304
"Benton, Missouri",19297
"Bollinger, Missouri",12189
"Boone, Missouri",179061
"Buchanan, Missouri",88163
"Butler, Missouri",42587
"Caldwell, Missouri",9071
"Callaway, Missouri",44954
"Camden, Missouri",45913
"Cape Girardeau, Missouri",78638
"Carroll, Missouri",8726
"Carter, Missouri",6083
"Cass, Missouri",104769
"Cedar, Missouri",14136
"Chariton, Missouri",7457
"Christian, Missouri",87044
"Clark, Missouri",6833
"Clay, Missouri",246360
"Clinton, Missouri",20435
"Cole, Missouri",76720
"Cooper, Missouri",17626
"Crawford, Missouri",23968
"Dade, Missouri",7564
"Dallas, Missouri",16782
"Daviess, Missouri",8334
"DeKalb, Missouri",12515
"Dent, Missouri",15547
"Douglas, Missouri",13359
"Dunklin, Missouri",29478
"Franklin, Missouri",103716
"Gasconade, Missouri",14680
"Gentry, Missouri",6598
"Greene, Missouri",291054
"Grundy, Missouri",9975
"Harrison, Missouri",8394
"Henry, Missouri",21808
"Hickory, Missouri",9458
"Holt, Missouri",4412
"Howard, Missouri",10059
"Howell, Missouri",40126
"Iron, Missouri",10187
"Jackson, Missouri",700784
"Jasper, Missouri",120455
"Jefferson, Missouri",224410
"Johnson, Missouri",53621
"Knox, Missouri",3965
"Laclede, Missouri",35596
"Lafayette, Missouri",32542
"Lawrence, Missouri",38264
"Lewis, Missouri",9839
"Lincoln, Missouri",57613
"Linn, Missouri",12039
"Livingston, Missouri",15181
"McDonald, Missouri",22963
"Macon, Missouri",15167
"Madison, Missouri",12188
"Maries, Missouri",8770
"Marion, Missouri",28540
"Mercer, Missouri",3626
"Miller, Missouri",25315
"Mississippi, Missouri",13394
"Moniteau, Missouri",16186
"Monroe, Missouri",8636
"Montgomery, Missouri",11488
"Morgan, Missouri",20414
"New Madrid, Missouri",17272
"Newton, Missouri",58158
"Nodaway, Missouri",22223
"Oregon, Missouri",10558
"Osage, Missouri",13652
"Ozark, Missouri",9070
"Pemiscot, Missouri",16256
"Perry, Missouri",19274
"Pettis, Missouri",42441
"Phelps, Missouri",44551
"Pike, Missouri",18502
"Platte, Missouri",102764
"Polk, Missouri",32214
"Pulaski, Missouri",51997
"Putnam, Missouri",4748
"Ralls, Missouri",10234
"Randolph, Missouri",24732
"Ray, Missouri",22945
"Reynolds, Missouri",6282
"Ripley, Missouri",13420
"St Charles, Missouri",398780
"St Clair, Missouri",9389
"Ste Genevieve, Missouri",17877
"St Francois, Missouri",66737
"St Louis, Missouri",995219
"Saline, Missouri",22890
"Schuyler, Missouri",4594
"Scotland, Missouri",4938
"Scott, Missouri",38541
"Shannon, Missouri",8189
"Shelby, Missouri",5997
"Stoddard, Missouri",29264
"Stone, Missouri",31701
"Sullivan, Missouri",6233
"Taney, Missouri",55719
"Texas, Missouri",25506
"Vernon, Missouri",20492
"Warren, Missouri",34766
"Washington, Missouri",24933
"Wayne, Missouri",13132
"Webster, Missouri",39179
"Worth, Missouri",2026
"Wright, Missouri",18187
"St Louis city, Missouri",303419
"Beaverhead, Montana",9412
"Big Horn, Montana",13365
"Blaine, Montana",6774
"Broadwater, Montana",6072
"Carbon, Montana",10691
"Carter, Montana",1230
"Cascade, Montana",81688
"Chouteau, Montana",5740
"Custer, Montana",11592
"Daniels, Montana",1729
"Dawson, Montana",8680
"Deer Lodge, Montana",9129
"Fallon, Montana",2912
"Fergus, Montana",11117
"Flathead, Montana",102017
"Gallatin, Montana",111682
"Garfield, Montana",1257
"Glacier, Montana",13828
"Golden Valley, Montana",822
"Granite, Montana",3371
"Hill, Montana",16342
"Jefferson, Montana",12094
"Judith Basin, Montana",1946
"Lake, Montana",30220
"Lewis and Clark, Montana",68622
"Liberty, Montana",2416
"Lincoln, Montana",19797
"McCone, Montana",1669
"Madison, Montana",8530
"Meagher, Montana",1857
"Mineral, Montana",4307
"Missoula, Montana",118640
"Musselshell, Montana",4632
"Park, Montana",16648
"Petroleum, Montana",512
"Phillips, Montana",4060
"Pondera, Montana",5960
"Powder River, Montana",1720
"Powell, Montana",6953
"Prairie, Montana",1070
"Ravalli, Montana",43166
"Richland, Montana",10855
"Roosevelt, Montana",11069
"Rosebud, Montana",9040
"Sanders, Montana",11847
"Sheridan, Montana",3386
"Silver Bow, Montana",34739
"Stillwater, Montana",9483
"Sweet Grass, Montana",3703
"Teton, Montana",6117
"Toole, Montana",4835
"Treasure, Montana",673
"Valley, Montana",7406
"Wheatland, Montana",2184
"Wibaux, Montana",1030
"Yellowstone, Montana",160029
"Adams, Nebraska",31514
"Antelope, Nebraska",6308
"Arthur, Nebraska",462
"Banner, Nebraska",725
"Blaine, Nebraska",480
"Boone, Nebraska",5241
"Box Butte, Nebraska",10733
"Boyd, Nebraska",1950
"Brown, Nebraska",2967
"Buffalo, Nebraska",49352
"Burt, Nebraska",6486
"Butler, Nebraska",8043
"Cass, Nebraska",26189
"Cedar, Nebraska",8453
"Chase, Nebraska",3937
"Cherry, Nebraska",5763
"Cheyenne, Nebraska",9282
"Clay, Nebraska",6202
"Colfax, Nebraska",10734
"Cuming, Nebraska",8935
"Custer, Nebraska",10830
"Dakota, Nebraska",20002
"Dawes, Nebraska",8705
"Dawson, Nebraska",23744
"Deuel, Nebraska",1821
"Dixon, Nebraska",5700
"Dodge, Nebraska",36725
"Douglas, Nebraska",566391
"Dundy, Nebraska",1764
"Fillmore, Nebraska",5535
"Franklin, Nebraska",3013
"Frontier, Nebraska",2600
"Furnas, Nebraska",4701
"Gage, Nebraska",21495
"Garden, Nebraska",1890
"Garfield, Nebraska",1974
"Gosper, Nebraska",1996
"Grant, Nebraska",657
"Greeley, Nebraska",2355
"Hall, Nebraska",61286
"Hamilton, Nebraska",9260
"Harlan, Nebraska",3386
"Hayes, Nebraska",917
"Hitchcock, Nebraska",2801
"Holt, Nebraska",10148
"Hooker, Nebraska",676
"Howard, Nebraska",6457
"Jefferson, Nebraska",7098
"Johnson, Nebraska",5115
"Kearney, Nebraska",6539
"Keith, Nebraska",8003
"Keya Paha, Nebraska",806
"Kimball, Nebraska",3578
"Knox, Nebraska",8405
"Lancaster, Nebraska",316527
"Lincoln, Nebraska",35148
"Logan, Nebraska",755
"Loup, Nebraska",617
"McPherson, Nebraska",490
"Madison, Nebraska",35189
"Merrick, Nebraska",7733
"Morrill, Nebraska",4674
"Nance, Nebraska",3506
"Nemaha, Nebraska",6957
"Nuckolls, Nebraska",4207
"Otoe, Nebraska",15983
"Pawnee, Nebraska",2623
"Perkins, Nebraska",2902
"Phelps, Nebraska",9006
"Pierce, Nebraska",7145
"Platte, Nebraska",33287
"Polk, Nebraska",5240
"Red Willow, Nebraska",10705
"Richardson, Nebraska",7938
"Rock, Nebraska",1351
"Saline, Nebraska",14336
"Sarpy, Nebraska",184062
"Saunders, Nebraska",21274
"Scotts Bluff, Nebraska",35925
"Seward, Nebraska",17273
"Sheridan, Nebraska",5189
"Sherman, Nebraska",3044
"Sioux, Nebraska",1186
"Stanton, Nebraska",5970
"Thayer, Nebraska",5039
"Thomas, Nebraska",714
"Thurston, Nebraska",7274
"Valley, Nebraska",4197
"Washington, Nebraska",20617
"Wayne, Nebraska",9318
"Webster, Nebraska",3534
"Wheeler, Nebraska",802
"York, Nebraska",13748
"Churchill, Nevada",24506
"Clark, Nevada",2226115
"Douglas, Nevada",48489
"Elko, Nevada",52539
"Esmeralda, Nevada",827
"Eureka, Nevada",1998
"Humboldt, Nevada",16778
"Lander, Nevada",5547
"Lincoln, Nevada",5237
"Lyon, Nevada",55813
"Mineral, Nevada",4544
"Nye, Nevada",45186
"Pershing, Nevada",6685
"Storey, Nevada",3981
"Washoe, Nevada",464354
"White Pine, Nevada",9540
"Carson City, Nevada",55202
"Belknap, New Hampshire",61145
"Carroll, New Hampshire",48754
"Cheshire, New Hampshire",75901
"Coos, New Hampshire",31486
"Grafton, New Hampshire",89701
"Hillsborough, New Hampshire",414630
"Merrimack, New Hampshire",150650
"Rockingham, New Hampshire",308287
"Strafford, New Hampshire",129797
"Sullivan, New Hampshire",43114
"Atlantic, New Jersey",263989
"Bergen, New Jersey",932816
"Burlington, New Jersey",444745
"Camden, New Jersey",506353
"Cape May, New Jersey",92446
"Cumberland, New Jersey",150635
"Essex, New Jersey",798570
"Gloucester, New Jersey",291525
"Hudson, New Jersey",671931
"Hunterdon, New Jersey",124807
"Mercer, New Jersey",368188
"Middlesex, New Jersey",826172
"Monmouth, New Jersey",620459
"Morris, New Jersey",493070
"Ocean, New Jersey",601478
"Passaic, New Jersey",503183
"Salem, New Jersey",62746
"Somerset, New Jersey",330181
"Sussex, New Jersey",140801
"Union, New Jersey",556402
"Warren, New Jersey",105528
"Bernalillo, New Mexico",678034
"Catron, New Mexico",3554
"Chaves, New Mexico",64554
"Cibola, New Mexico",26766
"Colfax, New Mexico",12071
"Curry, New Mexico",49338
"De Baca, New Mexico",1779
"Doña Ana, New Mexico",217278
"Eddy, New Mexico",57729
"Grant, New Mexico",27303
"Guadalupe, New Mexico",4334
"Harding, New Mexico",650
"Hidalgo, New Mexico",4231
"Lea, New Mexico",69543
"Lincoln, New Mexico",19518
"Los Alamos, New Mexico",18988
"Luna, New Mexico",23877
"McKinley, New Mexico",71911
"Mora, New Mexico",4487
"Otero, New Mexico",66659
"Quay, New Mexico",8242
"Rio Arriba, New Mexico",39023
"Roosevelt, New Mexico",18759
"Sandoval, New Mexico",145096
"San Juan, New Mexico",125499
"San Miguel, New Mexico",27480
"Santa Fe, New Mexico",149761
"Sierra, New Mexico",10949
"Socorro, New Mexico",16704
"Taos, New Mexico",32699
"Torrance, New Mexico",15512
"Union, New Mexico",4108
"Valencia, New Mexico",76305
"Albany, New York",306585
"Allegany, New York",46332
"Bronx, New York",1432087
"Broome, New York",191925
"Cattaraugus, New York",76726
"Cayuga, New York",77121
"Chautauqua, New York",127472
"Chemung, New York",83935
"Chenango, New York",47445
"Clinton, New York",80679
"Columbia, New York",59785
"Cortland, New York",47722
"Delaware, New York",44526
"Dutchess, New York",293939
"Erie, New York",919717
"Essex, New York",37288
"Franklin, New York",50279
"Fulton, New York",53633
"Genesee, New York",57487
"Greene, New York",47381
"Hamilton, New York",4432
"Herkimer, New York",61713
"Jefferson, New York",111866
"Kings, New York",2578074
"Lewis, New York",26486
"Livingston, New York",63213
"Madison, New York",71117
"Monroe, New York",742864
"Montgomery, New York",49394
"Nassau, New York",1357534
"New York, New York",1629055
"Niagara, New York",210060
"Oneida, New York",229474
"Onondaga, New York",461649
"Ontario, New York",109738
"Orange, New York",382126
"Orleans, New York",40655
"Oswego, New York",117515
"Otsego, New York",59810
"Putnam, New York",98814
"Queens, New York",2274605
"Rensselaer, New York",159283
"Richmond, New York",476260
"Rockland, New York",325522
"St Lawrence, New York",108327
"Saratoga, New York",230170
"Schenectady, New York",155079
"Schoharie, New York",31146
"Schuyler, New York",17884
"Seneca, New York",34179
"Steuben, New York",95860
"Suffolk, New York",1480830
"Sullivan, New York",75399
"Tioga, New York",48441
"Tompkins, New York",102419
"Ulster, New York",178418
"Warren, New York",64215
"Washington, New York",61274
"Wayne, New York",90200
"Westchester, New York",968213
"Wyoming, New York",40023
"Yates, New York",24951
"Alamance, North Carolina",166514
"Alexander, North Carolina",37331
"Alleghany, North Carolina",11138
"Anson, North Carolina",24470
"Ashe, North Carolina",27099
"Avery, North Carolina",17528
"Beaufort, North Carolina",47056
"Bertie, North Carolina",19106
"Bladen, North Carolina",33151
"Brunswick, North Carolina",136880
"Buncombe, North Carolina",259259
"Burke, North Carolina",90405
"Cabarrus, North Carolina",211597
"Caldwell, North Carolina",82026
"Camden, North Carolina",10676
"Carteret, North Carolina",69438
"Caswell, North Carolina",22634
"Catawba, North Carolina",158687
"Chatham, North Carolina",73127
"Cherokee, North Carolina",28369
"Chowan, North Carolina",14065
"Clay, North Carolina",11124
"Cleveland, North Carolina",97519
"Columbus, North Carolina",55819
"Craven, North Carolina",102338
"Cumberland, North Carolina",333430
"Currituck, North Carolina",27016
"Dare, North Carolina",36607
"Davidson, North Carolina",166358
"Davie, North Carolina",42563
"Duplin, North Carolina",58991
"Durham, North Carolina",316979
"Edgecombe, North Carolina",51984
"Forsyth, North Carolina",379216
"Franklin, North Carolina",67625
"Gaston, North Carolina",222630
"Gates, North Carolina",11563
"Graham, North Carolina",8461
"Granville, North Carolina",59979
"Greene, North Carolina",21106
"Guilford, North Carolina",532607
"Halifax, North Carolina",50634
"Harnett, North Carolina",134336
"Haywood, North Carolina",61890
"Henderson, North Carolina",116500
"Hertford, North Carolina",23878
"Hoke, North Carolina",54695
"Hyde, North Carolina",5026
"Iredell, North Carolina",178332
"Jackson, North Carolina",43600
"Johnston, North Carolina",202692
"Jones, North Carolina",9613
"Lee, North Carolina",61208
"Lenoir, North Carolina",55990
"Lincoln, North Carolina",84092
"McDowell, North Carolina",45465
"Macon, North Carolina",35274
"Madison, North Carolina",21665
"Martin, North Carolina",22660
"Mecklenburg, North Carolina",1093750
"Mitchell, North Carolina",14996
